Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,sleepTime,Mean,Error,StdDev,Gen 0,Gen 1,Gen 2,Allocated
RunPublic,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,0,42.88 us,1.3946 us,2.0441 us,0.9766,-,-,3.72 KB
Reflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,0,48.04 us,0.5617 us,0.8407 us,1.0376,-,-,3.81 KB
DynamicReflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,0,48.58 us,0.8363 us,1.2517 us,1.0376,-,-,3.94 KB
RunPublic,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,1,"5,488.67 us",27.4092 us,41.0249 us,-,-,-,3.91 KB
Reflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,1,"5,543.29 us",23.8211 us,34.9166 us,-,-,-,4.02 KB
DynamicReflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,1,"5,550.47 us",34.0464 us,50.9591 us,-,-,-,4.15 KB
RunPublic,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,15,"68,756.56 us","1,272.6236 us","1,904.8031 us",-,-,-,3.91 KB
Reflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,15,"75,801.20 us","1,212.3736 us","1,814.6238 us",-,-,-,4.24 KB
DynamicReflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,15,"74,880.26 us","1,380.9247 us","2,066.9031 us",-,-,-,4.38 KB
RunPublic,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,100,"405,453.18 us","2,731.6902 us","4,004.0760 us",-,-,-,3.91 KB
Reflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,100,"406,637.86 us","2,962.5000 us","4,434.1305 us",-,-,-,5.66 KB
DynamicReflect,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,15,Default,2,Default,Default,Default,Default,Default,16,10,100,"407,360.33 us","2,343.5643 us","3,507.7367 us",-,-,-,5.88 KB
